Lat_caro,Lon_caro,route_id
19.4438,-99.17,0
19.443786,-99.17,0
19.443773,-99.17,0
19.443759,-99.17,0
19.443746,-99.17,0
19.443732,-99.17,0
19.443719,-99.17,0
19.443705,-99.17,0
19.443692,-99.17,0
19.443678,-99.17,0
19.443665,-99.17,0
19.443651,-99.17,0
19.443638,-99.17,0
19.443624,-99.17,0
19.443611,-99.17,0
19.443597,-99.17,0
19.443584,-99.17,0
19.44357,-99.17,0
19.443557,-99.17,0
19.443543,-99.17,0
19.44353,-99.17,0
19.443516,-99.17,0
19.443503,-99.17,0
19.443489,-99.17,0
19.443476,-99.17,0
19.443462,-99.17,0
19.443448,-99.17,0
19.443435,-99.17,0
19.443421,-99.17,0
19.443408,-99.17,0
19.443394,-99.17,0
19.443381,-99.17,0
19.443367,-99.17,0
19.443354,-99.17,0
19.44334,-99.17,0
19.443327,-99.17,0
19.443313,-99.17,0
19.4433,-99.17,0
19.443286,-99.17,0
19.443273,-99.17,0
19.443259,-99.17,0
19.443246,-99.17,0
19.443232,-99.17,0
19.443219,-99.17,0
19.443205,-99.17,0
19.443192,-99.17,0
19.443178,-99.17,0
19.443165,-99.17,0
19.443151,-99.17,0
19.443138,-99.17,0
19.443124,-99.17,0
19.44311,-99.17,0
19.443097,-99.17,0
19.443083,-99.17,0
19.44307,-99.17,0
19.443056,-99.17,0
19.443043,-99.17,0
19.443029,-99.17,0
19.443016,-99.17,0
19.443002,-99.17,0
19.442989,-99.17,0
19.442975,-99.17,0
19.442962,-99.17,0
19.442948,-99.17,0
19.442935,-99.17,0
19.442921,-99.17,0
19.442908,-99.17,0
19.442894,-99.17,0
19.442881,-99.17,0
19.442867,-99.17,0
19.442854,-99.17,0
19.44284,-99.17,0
19.442827,-99.17,0
19.442813,-99.17,0
19.4428,-99.17,0
19.442786,-99.17,0
19.442772,-99.17,0
19.442759,-99.17,0
19.442745,-99.17,0
19.442732,-99.17,0
19.442718,-99.17,0
19.442705,-99.17,0
19.442691,-99.17,0
19.442678,-99.17,0
19.442664,-99.17,0
19.442651,-99.17,0
19.442637,-99.17,0
19.442624,-99.17,0
19.44261,-99.17,0
19.442597,-99.17,0
19.442583,-99.17,0
19.44257,-99.17,0
19.442556,-99.17,0
19.442543,-99.17,0
19.442529,-99.17,0
19.442516,-99.17,0
19.442502,-99.17,0
19.442489,-99.17,0
19.442475,-99.17,0
19.442462,-99.17,0
19.442448,-99.17,0
19.442434,-99.17,0
19.442421,-99.17,0
19.442407,-99.17,0
19.442394,-99.17,0
19.44238,-99.17,0
19.442367,-99.17,0
19.442353,-99.17,0
19.44234,-99.17,0
19.442326,-99.17,0
19.442313,-99.17,0
19.442299,-99.17,0
19.442286,-99.17,0
19.442272,-99.17,0
19.442259,-99.17,0
19.442245,-99.17,0
19.442232,-99.17,0
19.442218,-99.17,0
19.442205,-99.17,0
19.442191,-99.17,0
19.442178,-99.17,0
19.442164,-99.17,0
19.442151,-99.17,0
19.442137,-99.17,0
19.442124,-99.17,0
19.44211,-99.17,0
19.442096,-99.17,0
19.442083,-99.17,0
19.442069,-99.17,0
19.442056,-99.17,0
19.442042,-99.17,0
19.442029,-99.17,0
19.442015,-99.17,0
19.442002,-99.17,0
19.441988,-99.17,0
